REPORT_MONTH,SUPPLIER_ID,SUPPLIER_NAME,COUNTRY,SUPPLIER_CATEGORY,PURCHASE_ORDERS,UNITS_ORDERED,TOTAL_SPEND,AVERAGE_LEAD_TIME_DAYS,ON_TIME_DELIVERY_RATE,DELAYED_ORDERS,DEFECT_RATE,AVERAGE_SPEND_PER_PO,DELAY_RATE,PERFORMANCE_STATUS
2026-01-01,1,Global Components Inc.,USA,Semiconductors,11,551,35535.66,13,94.89,1,2.71,3230.51,9.09,Needs Review
2026-01-01,2,EuroTech Manufacturing,Germany,Power Components,25,678,37581.24,16,95.42,1,1.16,1503.25,4.0,Good
2026-01-01,3,Pacific Electronics Ltd.,Taiwan,Displays,24,1732,37397.62,20,93.56,2,2.6,1558.23,8.33,Needs Review
2026-02-01,1,Global Components Inc.,USA,Semiconductors,21,951,44651.87,14,97.24,1,0.52,2126.28,4.76,Excellent
2026-02-01,2,EuroTech Manufacturing,Germany,Power Components,13,1929,87493.39,18,95.92,1,3.37,6730.26,7.69,Needs Review
2026-02-01,3,Pacific Electronics Ltd.,Taiwan,Displays,18,709,18125.41,19,92.14,1,1.53,1006.97,5.56,Needs Review
2026-03-01,1,Global Components Inc.,USA,Semiconductors,16,2152,48650.32,15,96.14,1,3.42,3040.64,6.25,Needs Review
2026-03-01,2,EuroTech Manufacturing,Germany,Power Components,20,661,35113.93,21,97.77,0,3.09,1755.7,0.0,Needs Review
2026-03-01,3,Pacific Electronics Ltd.,Taiwan,Displays,14,1942,46944.57,24,91.61,1,1.37,3353.18,7.14,Needs Review
2026-04-01,1,Global Components Inc.,USA,Semiconductors,10,2251,76460.74,12,95.52,0,1.86,7646.07,0.0,Good
2026-04-01,2,EuroTech Manufacturing,Germany,Power Components,19,833,35161.64,17,97.98,0,2.61,1850.61,0.0,Needs Review
2026-04-01,3,Pacific Electronics Ltd.,Taiwan,Displays,10,1747,101498.42,23,93.62,1,0.99,10149.84,10.0,Needs Review
2026-05-01,1,Global Components Inc.,USA,Semiconductors,20,1052,83498.71,17,96.75,1,1.16,4174.94,5.0,Good
2026-05-01,2,EuroTech Manufacturing,Germany,Power Components,18,2226,147135.96,16,96.22,1,0.6,8174.22,5.56,Good
2026-05-01,3,Pacific Electronics Ltd.,Taiwan,Displays,18,1321,47641.14,20,94.35,1,2.2,2646.73,5.56,Good
2026-06-01,1,Global Components Inc.,USA,Semiconductors,18,935,55470.11,15,97.54,0,2.43,3081.67,0.0,Good
2026-06-01,2,EuroTech Manufacturing,Germany,Power Components,12,1042,29569.69,21,97.55,0,1.29,2464.14,0.0,Excellent
2026-06-01,3,Pacific Electronics Ltd.,Taiwan,Displays,21,2338,128618.0,21,91.58,2,3.49,6124.67,9.52,Needs Review
2026-07-01,1,Global Components Inc.,USA,Semiconductors,24,1510,38436.39,12,97.44,1,0.96,1601.52,4.17,Excellent
2026-07-01,2,EuroTech Manufacturing,Germany,Power Components,13,2122,129078.87,20,95.55,1,1.64,9929.14,7.69,Good
2026-07-01,3,Pacific Electronics Ltd.,Taiwan,Displays,22,1583,55539.31,23,94.14,1,0.53,2524.51,4.55,Good
2026-08-01,1,Global Components Inc.,USA,Semiconductors,11,1896,138573.53,14,97.07,0,1.52,12597.59,0.0,Good
2026-08-01,2,EuroTech Manufacturing,Germany,Power Components,17,1390,40990.36,16,99.12,0,3.13,2411.2,0.0,Needs Review
2026-08-01,3,Pacific Electronics Ltd.,Taiwan,Displays,16,2490,124587.57,20,92.73,1,0.82,7786.72,6.25,Needs Review
